LT,TEC
5.311333023,2.067562231
5.344669537,2.082707184
5.378006051,2.004272051
5.411342589,1.736569127
5.444679076,1.758503023
5.478015607,1.549283022
5.511352156,1.741292224
5.544688667,1.360906124
5.578025187,1.05532606
5.611361681,1.145398955
5.644698206,1.036199374
5.678034743,1.296721044
5.711371291,1.31577745
5.744707835,1.269239418
5.77804438,0.962579555
5.811380932,0.61743332
5.844717454,0.988463607
5.87805406,1.103095777
5.911390633,1.011932863
5.94472721,1.032592331
5.978063767,1.173517444
6.011400374,1.504117971
6.044736945,1.264021084
6.078073609,0.967671544
6.111410229,1.06879386
6.144746864,1.106445786
6.178083491,1.15600544
6.211420185,1.187670211
6.244756847,1.715132149
6.278093547,1.984858851
6.311430264,2.096781783
6.344766973,2.530300983
6.37810367,2.456325376
6.41144047,2.498284856
6.444777173,2.727422499
6.478113995,2.959789452
6.511450796,3.782336723
6.5447876,4.054138764
6.578124453,4.780007006
6.611461307,4.914564654
6.644798186,5.254680634
6.678135076,5.473893981
6.711471984,5.68874417
6.744808916,5.899711194
6.778145873,5.762693623
6.811482816,6.240149903
6.844819846,6.764964035
6.878156863,6.954279406
6.911493913,7.536864138
6.944830983,7.893703235
6.978168051,8.283844397
7.011505195,8.570963953
7.044842322,9.027282915
7.078179491,9.07310271
7.111516688,9.469790485
7.14485388,9.874227033
7.178191111,9.954231911
7.211528398,10.23915525
7.244865706,10.48724313
7.278203017,10.5610105
7.311540393,11.06879007
7.344877756,11.10486152
7.378215173,11.39428901
7.411552594,11.4618379
7.444890082,11.73698261
7.478227574,12.02740893
7.511565091,12.32149452
7.544902664,12.55413437
7.578240252,12.90346649
7.611577867,13.0823586
7.644915526,13.48724997
7.678253184,13.74950941
7.711590888,13.48764808
7.744928633,13.25160248
7.778266403,14.01624215
7.811604197,13.96295694
7.844942044,14.59932086
7.878279909,15.00369703
7.911617815,15.24218259
7.944955746,15.57337435
7.978293714,16.0040762
8.011631704,16.43253512
8.044969735,16.8168626
8.078307798,16.83871225
8.111645893,17.29253288
8.144983995,17.37751641
8.178322161,17.62123188
8.211660347,17.92754878
8.244998559,18.31235183
8.278336844,18.823685
8.311675103,18.67671469
8.345013439,18.89290854
8.378351796,19.05781084
8.411690145,19.40507747
8.445028585,19.64064349
8.47836701,19.87950762
8.511705504,19.9641357
8.545044007,20.00765573
8.578382571,20.37694827
8.611721133,20.54339941
8.645059744,20.59292731
8.678398368,20.778771
8.711737024,21.38926374
8.745075729,21.36329815
8.778414452,21.51582214
8.811753183,21.77585201
8.845091974,21.89269221
8.878430793,22.0599948
8.911769638,22.6146885
8.9451085,22.86100355
8.978447393,22.98678317
9.011786313,22.88845999
9.045125234,23.23284345
9.078464247,23.26820452
9.111803238,23.10418738
9.145142272,23.33375817
9.17848131,23.60756494
9.211820385,23.4859963
9.245159484,23.56961638
9.278498618,24.22148523
9.311837813,24.34249117
9.345176941,24.49616731
9.378516132,24.55872103
9.411855347,24.96592611
9.445194545,24.9563729
9.478533847,25.21110517
9.511873115,25.44962739
9.545212387,25.76993665
9.57855171,25.77806234
9.611891038,25.86375523
9.645230396,26.04660263
9.678569767,26.12253907
9.711909139,26.26742521
9.745248519,26.40438216
9.778587953,26.55123163
9.811927335,26.75666649
9.845266792,26.80439269
9.878606203,26.98298403
9.911945694,27.43653589
9.945285153,27.77991603
9.978624627,28.20890471
10.01196411,28.46994777
10.04530361,28.43404687
10.07864308,28.59473686
10.11198259,28.3930161
10.14532209,28.60062319
10.17866161,29.00198005
10.21200113,28.75298446
10.24534064,28.80513753
10.27868017,28.83545199
10.31201965,28.85421383
10.34535916,28.73017746
10.37869872,28.66040522
10.41203825,28.50398779
10.44537776,28.56826847
10.47871727,28.38221897
10.51205677,28.38054957
10.54539626,28.3163555
10.57873575,28.23426599
10.61207524,28.68989936
10.6454147,28.67271795
10.67875416,28.52714106
10.71209362,28.59274857
10.74543302,28.61729905
10.77877247,28.56718913
10.81211187,28.23040127
10.84545124,28.35939461
10.87879065,28.26439949
10.91212997,28.0886987
10.94546935,28.01070853
10.97880866,27.85588767
11.01214796,27.82901348
11.04548723,27.68819187
11.07882648,27.82527729
11.11216569,27.83136744
11.14550488,27.66238543
11.17884407,27.61407658
11.21218321,27.4698129
11.24552232,27.39532401
11.27886141,27.42503025
11.31220046,27.48680484
11.34553946,27.46560701
11.37887845,27.26363527
11.4122174,27.11123234
11.44555631,27.22886327
11.47889521,27.46177607
11.51223405,27.38876793
11.54557284,27.33489448
11.57891159,27.21032953
11.61225028,27.32239386
11.64558897,27.3494631
11.6789276,27.60040715
11.71226615,27.49314599
11.74560469,27.62633405
11.77894316,27.80900861
11.8122816,27.77088282
11.84562002,27.91465019
11.8789583,27.90845416
11.91229661,28.19750736
11.94563482,28.10888814
11.97897297,28.20597628
12.01231111,28.40129309
12.04564915,28.2570447
12.07898715,28.3252004
12.11232507,28.14160996
12.14566294,28.14456191
12.17900074,28.44265883
12.21233851,28.35675043
12.24567618,28.37630995
12.27901379,27.97299786
12.31235133,28.17859575
12.34568879,28.10581171
12.37902624,28.51132127
12.41236353,28.4289776
12.44570083,28.62609969
12.479038,28.50150532
12.51237517,28.82303082
12.5457122,28.38191853
12.57904917,28.24045704
12.61238607,28.32047154
12.64572292,28.201271
12.67905965,28.24947737
12.71239628,28.31980474
12.74573291,28.45108671
12.77906939,28.68434347
12.8124058,28.42411396
12.84574213,28.53085396
12.8790784,29.10535093
12.91241457,28.98065804
12.94575066,28.96613937
12.97908665,29.23105182
13.01242251,29.58547666
13.04575835,29.66735097
13.07909408,29.75816171
13.11242971,29.83627821
13.14576523,30.02614575
13.17910069,30.01373733
13.21243602,29.87116794
13.24577127,30.10217743
13.27910641,30.28321209
13.31244151,30.0427206
13.34577649,30.11446853
13.37911138,30.1123481
13.41244616,30.27272049
13.44578081,30.15634743
13.47911538,30.28014859
13.51244987,30.29605346
13.54578423,30.37096983
13.57911851,30.4108349
13.61245269,30.40705676
13.64578676,30.1539106
13.67912074,30.43742828
13.71245462,30.36080886
13.74578837,30.76465492
13.77912201,30.45402673
13.81245558,30.63487257
13.84578899,30.7695493
13.87912234,30.84301459
13.91245556,31.10454261
13.94578868,31.05820777
13.97912168,31.43302695
14.0124546,31.58223425
14.0457874,31.75792765
14.07912007,31.80208671
14.11245269,31.61052346
14.14578512,31.80610826
14.17911748,31.4337551
14.21244973,31.77075804
14.24578183,32.10548779
14.2791139,31.70834942
14.31244579,31.66554676
14.34577759,31.84970959
14.37910929,31.96297391
14.41244086,31.73860599
14.44577234,32.06661446
14.47910369,31.90966923
14.51243494,31.75834255
14.54576606,31.50256606
14.57909704,31.07050556
14.61242798,31.11581149
14.64575877,31.3735486
14.67908944,31.03476355
14.71241999,30.89036738
14.74575047,30.5448043
14.77908078,30.8008739
14.81241105,30.41982696
14.84574117,30.42355576
14.87907115,30.32196024
14.91240104,30.54613406
14.94573082,30.22901167
14.97906048,30.07421956
15.01239001,30.22239274
15.0457195,30.20889868
15.07904882,29.79505158
15.11237803,29.62885561
15.14570715,29.72489476
15.17903617,29.75402374
15.21236507,29.83532718
15.24569387,29.97186787
15.27902253,29.68648705
15.3123511,29.99454319
15.34567957,30.0087108
15.37900795,29.72805819
15.41233621,29.21209994
15.44566432,29.63373648
15.47899237,29.35298475
15.5123203,29.22351971
15.54564815,29.48500112
15.57869808,29.86129822
15.6120257,29.65297813
15.64535322,29.60441593
15.67868062,30.01429649
15.71200793,29.7905045
15.74533516,29.6424975
15.77866227,29.70085374
15.81198928,29.78876575
15.8453162,29.63861989
15.87864302,29.76267837
15.91196974,29.81203453
15.94529637,30.09860866
15.97862289,29.97717196
16.01194933,29.90684532
16.04527565,29.85117368
16.0786019,29.85809852
16.11192805,29.67068217
16.14525413,29.6937293
16.17858011,29.98784739
16.21190599,30.07048575
16.24523178,30.07259169
16.2785575,30.38404229
16.31188312,30.73704449
16.34520864,30.40433425
16.37853413,30.53470507
16.41185949,30.45213037
16.44518477,30.35296002
16.47850999,30.03191432
16.51183512,29.78513098
16.54516014,29.75282569
16.57848515,30.16487558
16.61181007,30.12369957
16.64513487,30.41395814
16.67845962,30.56787247
16.71178431,30.7185525
16.7451089,30.68929906
16.77843345,30.45812305
16.81175791,30.61346201
16.84508231,30.43676999
16.87840665,30.314431
16.91173091,30.41915435
16.94505512,30.35818796
16.97837927,30.60851011
17.01170335,31.08789435
17.04502738,30.87914222
17.07835133,30.76556675
