,LT,TEC
0,5.311333023,2.067562231
1,5.344669537,2.082707184
2,5.378006051,2.004272051
3,5.411342589,1.7365691269999999
4,5.444679076,1.758503023
5,5.478015607000001,1.5492830219999998
6,5.511352156,1.7412922240000002
7,5.544688667000001,1.360906124
8,5.578025187000001,1.05532606
9,5.611361681,1.145398955
10,5.644698206,1.036199374
11,5.6780347429999996,1.296721044
12,5.711371291,1.31577745
13,5.744707835,1.269239418
14,5.77804438,0.962579555
15,5.8113809320000005,0.61743332
16,5.8447174539999995,0.988463607
17,5.87805406,1.103095777
18,5.911390633,1.011932863
19,5.94472721,1.032592331
20,5.978063767,1.173517444
21,6.011400374,1.5041179709999999
22,6.044736945,1.2640210840000001
23,6.078073609,0.9676715440000001
24,6.111410229,1.06879386
25,6.144746864,1.1064457859999999
26,6.178083491000001,1.15600544
27,6.211420185,1.187670211
28,6.2447568470000006,1.715132149
29,6.278093547,1.984858851
30,6.311430264,2.096781783
31,6.344766973,2.530300983
32,6.37810367,2.456325376
33,6.41144047,2.4982848559999997
34,6.444777172999999,2.727422499
35,6.478113995,2.959789452
36,6.511450796,3.7823367230000002
37,6.544787599999999,4.054138764
38,6.578124452999999,4.780007006
39,6.611461307000001,4.914564653999999
40,6.644798186,5.254680634
41,6.678135076,5.473893981
42,6.711471984,5.68874417
43,6.744808916,5.899711194
44,6.778145873,5.762693623
45,6.811482816,6.240149903
46,6.844819846,6.764964035
47,6.878156862999999,6.954279406
48,6.911493912999999,7.536864137999999
49,6.944830982999999,7.893703235
50,6.978168051,8.283844397000001
51,7.011505195,8.570963953
52,7.044842322,9.027282915
53,7.078179491,9.07310271
54,7.111516687999999,9.469790485
55,7.14485388,9.874227033
56,7.178191111,9.954231911
57,7.211528398,10.23915525
58,7.244865706000001,10.48724313
59,7.278203017,10.5610105
60,7.311540393,11.06879007
61,7.344877756,11.10486152
62,7.378215172999999,11.39428901
63,7.411552594,11.4618379
64,7.444890082000001,11.73698261
65,7.478227574,12.02740893
66,7.5115650910000005,12.32149452
67,7.544902663999999,12.55413437
68,7.5782402520000005,12.90346649
69,7.611577867,13.0823586
70,7.644915526,13.48724997
71,7.678253184,13.74950941
72,7.711590888,13.48764808
73,7.744928633,13.25160248
74,7.778266403,14.01624215
75,7.811604197,13.96295694
76,7.844942044,14.59932086
77,7.878279909,15.00369703
78,7.911617815,15.24218259
79,7.944955746000001,15.57337435
80,7.978293713999999,16.0040762
81,8.011631704,16.43253512
82,8.044969735,16.8168626
83,8.078307797999999,16.83871225
84,8.111645893,17.29253288
85,8.144983995,17.37751641
86,8.178322161,17.62123188
87,8.211660347,17.92754878
88,8.244998558999999,18.31235183
89,8.278336844,18.823685
90,8.311675102999999,18.67671469
91,8.345013439,18.89290854
92,8.378351796,19.05781084
93,8.411690145,19.40507747
94,8.445028585,19.64064349
95,8.47836701,19.87950762
96,8.511705504,19.9641357
97,8.545044007000001,20.00765573
98,8.578382571,20.37694827
99,8.611721133,20.54339941
100,8.645059744,20.59292731
101,8.678398368,20.778771
102,8.711737024,21.38926374
103,8.745075729,21.36329815
104,8.778414452,21.51582214
105,8.811753182999999,21.77585201
106,8.845091973999999,21.89269221
107,8.878430793,22.059994800000002
108,8.911769637999999,22.6146885
109,8.9451085,22.86100355
110,8.978447393,22.98678317
111,9.011786313,22.88845999
112,9.045125234,23.23284345
113,9.078464247000001,23.26820452
114,9.111803238,23.10418738
115,9.145142272000001,23.33375817
116,9.17848131,23.60756494
117,9.211820385,23.4859963
118,9.245159484,23.56961638
119,9.278498617999999,24.22148523
120,9.311837813,24.34249117
121,9.345176941,24.49616731
122,9.378516132,24.55872103
123,9.411855347000001,24.96592611
124,9.445194545,24.956372899999998
125,9.478533847000001,25.21110517
126,9.511873115,25.44962739
127,9.545212387000001,25.76993665
128,9.57855171,25.77806234
129,9.611891038,25.86375523
130,9.645230396,26.04660263
131,9.678569767,26.12253907
132,9.711909139,26.26742521
133,9.745248519,26.40438216
134,9.778587952999999,26.55123163
135,9.811927335,26.75666649
136,9.845266792,26.80439269
137,9.878606203,26.98298403
138,9.911945694,27.43653589
139,9.945285153,27.77991603
140,9.978624627,28.20890471
141,10.01196411,28.46994777
142,10.04530361,28.43404687
143,10.07864308,28.59473686
144,10.11198259,28.3930161
145,10.14532209,28.60062319
146,10.17866161,29.00198005
147,10.21200113,28.75298446
148,10.24534064,28.80513753
149,10.27868017,28.83545199
150,10.31201965,28.85421383
151,10.34535916,28.73017746
152,10.37869872,28.66040522
153,10.41203825,28.50398779
154,10.44537776,28.56826847
155,10.47871727,28.38221897
156,10.51205677,28.38054957
157,10.54539626,28.3163555
158,10.57873575,28.23426599
159,10.61207524,28.68989936
160,10.6454147,28.67271795
161,10.67875416,28.52714106
162,10.71209362,28.59274857
163,10.74543302,28.61729905
164,10.77877247,28.56718913
165,10.81211187,28.23040127
166,10.84545124,28.35939461
167,10.87879065,28.26439949
168,10.91212997,28.088698699999995
169,10.94546935,28.01070853
170,10.97880866,27.85588767
171,11.01214796,27.82901348
172,11.04548723,27.68819187
173,11.07882648,27.82527729
174,11.11216569,27.83136744
175,11.14550488,27.66238543
176,11.17884407,27.61407658
177,11.21218321,27.469812899999997
178,11.24552232,27.39532401
179,11.27886141,27.42503025
180,11.31220046,27.48680484
181,11.34553946,27.46560701
182,11.37887845,27.26363527
183,11.4122174,27.11123234
184,11.44555631,27.22886327
185,11.47889521,27.46177607
186,11.51223405,27.38876793
187,11.54557284,27.33489448
188,11.57891159,27.21032953
189,11.61225028,27.32239386
190,11.64558897,27.349463099999998
191,11.6789276,27.60040715
192,11.71226615,27.49314599
193,11.74560469,27.62633405
194,11.77894316,27.80900861
195,11.812281599999999,27.77088282
196,11.84562002,27.91465019
197,11.8789583,27.90845416
198,11.91229661,28.19750736
199,11.94563482,28.10888814
200,11.97897297,28.20597628
201,12.01231111,28.40129309
202,12.04564915,28.257044699999998
203,12.07898715,28.325200399999996
