TEC,Predicted TEC Values
2.067562231,1.758503
2.082707184,1.549283
2.004272051,1.7412922
1.7365691269999999,1.3609061
1.758503023,1.0553261
1.5492830219999998,1.145399
1.7412922240000002,1.0361993
1.360906124,1.296721
1.05532606,1.3157775
1.145398955,1.2692393
1.036199374,0.9625795
1.296721044,0.6174333
1.31577745,0.9884636
1.269239418,1.1030958
0.962579555,1.0119328
0.61743332,1.0325923
0.988463607,1.1735173
1.103095777,1.5041181
1.011932863,1.264021
1.032592331,0.9676715
1.173517444,1.0687939
1.5041179709999999,1.1064457
1.2640210840000001,1.1560054
0.9676715440000001,1.1876702
1.06879386,1.7151321
1.1064457859999999,1.9848588
1.15600544,2.0967817
1.187670211,2.5303009
1.715132149,2.4563255
1.984858851,2.4982848
2.096781783,2.7274225
2.530300983,2.9597898
2.456325376,3.7823367
2.4982848559999997,4.054139
2.727422499,4.7800074
2.959789452,4.9145646
3.7823367230000002,5.2546806
4.054138764,5.473894
4.780007006,5.688744
4.914564653999999,5.899711
5.254680634,5.7626934
5.473893981,6.24015
5.68874417,6.764964
5.899711194,6.9542794
5.762693623,7.5368643
6.240149903,7.8937035
6.764964035,8.283844
6.954279406,8.570964
7.536864137999999,9.027283
7.893703235,9.073103
8.283844397000001,9.46979
8.570963953,9.874228
9.027282915,9.954231
9.07310271,10.239156
9.469790485,10.487243
9.874227033,10.56101
9.954231911,11.06879
10.23915525,11.104861
10.48724313,11.394289
10.5610105,11.461838
11.06879007,11.736983
11.10486152,12.02741
11.39428901,12.321494
11.4618379,12.554135
11.73698261,12.903467
12.02740893,13.082358
12.32149452,13.48725
12.55413437,13.74951
12.90346649,13.487648
13.0823586,13.251603
13.48724997,14.016243
13.74950941,13.962956
13.48764808,14.599321
13.25160248,15.003697
14.01624215,15.242183
13.96295694,15.573375
14.59932086,16.004076
15.00369703,16.432535
15.24218259,16.816862
15.57337435,16.838713
16.0040762,17.292534
16.43253512,17.377516
16.8168626,17.621231
16.83871225,17.92755
17.29253288,18.312351
17.37751641,18.823685
17.62123188,18.676714
17.92754878,18.892908
18.31235183,19.057812
18.823685,19.405077
18.67671469,19.640644
18.89290854,19.879507
19.05781084,19.964136
19.40507747,20.007656
19.64064349,20.376947
19.87950762,20.5434
19.9641357,20.592928
20.00765573,20.77877
20.37694827,21.389261
20.54339941,21.363297
20.59292731,21.51582
20.778771,21.775852
21.38926374,21.89269
21.36329815,22.059994
21.51582214,22.614689
21.77585201,22.861002
21.89269221,22.986782
22.059994800000002,22.88846
22.6146885,23.232841
22.86100355,23.268204
22.98678317,23.104187
22.88845999,23.333757
23.23284345,23.607563
23.26820452,23.485994
23.10418738,23.569614
23.33375817,24.221483
23.60756494,24.342491
23.4859963,24.496166
23.56961638,24.55872
24.22148523,24.965925
24.34249117,24.956371
24.49616731,25.211103
24.55872103,25.449625
24.96592611,25.769936
24.956372899999998,25.778063
25.21110517,25.863754
25.44962739,26.046602
25.76993665,26.122538
25.77806234,26.267424
25.86375523,26.40438
26.04660263,26.551231
26.12253907,26.756664
26.26742521,26.80439
26.40438216,26.982985
26.55123163,27.436537
26.75666649,27.779915
26.80439269,28.208902
26.98298403,28.469948
27.43653589,28.434046
27.77991603,28.594734
28.20890471,28.393013
28.46994777,28.600622
28.43404687,29.00198
28.59473686,28.752983
28.3930161,28.805136
28.60062319,28.835451
29.00198005,28.854214
28.75298446,28.730175
28.80513753,28.660404
28.83545199,28.503986
28.85421383,28.568268
28.73017746,28.382217
28.66040522,28.380548
28.50398779,28.316353
28.56826847,28.234266
28.38221897,28.689898
28.38054957,28.672716
28.3163555,28.527142
28.23426599,28.592749
28.68989936,28.617298
28.67271795,28.567186
28.52714106,28.2304
28.59274857,28.359394
28.61729905,28.264399
28.56718913,28.088697
28.23040127,28.010706
28.35939461,27.855885
28.26439949,27.829012
28.088698699999995,27.68819
28.01070853,27.825277
27.85588767,27.831367
27.82901348,27.662384
27.68819187,27.614077
27.82527729,27.469812
27.83136744,27.395323
27.66238543,27.425028
27.61407658,27.486803
27.469812899999997,27.465607
27.39532401,27.263634
27.42503025,27.11123
27.48680484,27.228863
27.46560701,27.461775
27.26363527,27.388767
27.11123234,27.334894
27.22886327,27.21033
27.46177607,27.322393
27.38876793,27.349463
27.33489448,27.600407
27.21032953,27.493145
27.32239386,27.626333
27.349463099999998,27.809008
27.60040715,27.77088
27.49314599,27.91465
